"               epoch"	"      train/box_loss"	"      train/obj_loss"	"      train/cls_loss"	"   metrics/precision"	"      metrics/recall"	"     metrics/mAP_0.5"	"metrics/mAP_0.5:0.95"	"        val/box_loss"	"        val/obj_loss"	"        val/cls_loss"	"               x/lr0"	"               x/lr1"	"               x/lr2"
"                   0"	"              0.0865"	"            0.044483"	"            0.022547"	"             0.41377"	"             0.60554"	"             0.50307"	"             0.17802"	"            0.058367"	"            0.027138"	"            0.018413"	"             0.00098"	"             0.00098"	"             0.09118"
"                   1"	"            0.061715"	"            0.030511"	"            0.011383"	"             0.74732"	"              0.7187"	"             0.81288"	"             0.40251"	"            0.052186"	"            0.021369"	"           0.0044961"	"             0.00197"	"             0.00197"	"             0.08227"
"                   2"	"            0.053013"	"            0.027772"	"           0.0047013"	"             0.87292"	"             0.85376"	"             0.91188"	"             0.48238"	"            0.038613"	"            0.019698"	"           0.0033233"	"           0.0029597"	"           0.0029597"	"             0.07336"
"                   3"	"             0.04667"	"             0.02662"	"           0.0036833"	"             0.87313"	"             0.85731"	"             0.91622"	"             0.47481"	"            0.037056"	"            0.019296"	"            0.003062"	"           0.0039492"	"           0.0039492"	"            0.064449"
"                   4"	"            0.043067"	"            0.025859"	"           0.0031385"	"             0.87055"	"             0.92911"	"              0.9405"	"             0.54573"	"            0.033512"	"            0.018305"	"           0.0029696"	"           0.0049383"	"           0.0049383"	"            0.055538"
"                   5"	"            0.039946"	"            0.025055"	"           0.0028992"	"             0.94866"	"             0.91455"	"             0.96078"	"             0.58629"	"            0.030937"	"             0.01862"	"           0.0030518"	"           0.0059267"	"           0.0059267"	"            0.046627"
"                   6"	"            0.037448"	"            0.025043"	"           0.0025807"	"             0.94891"	"             0.91394"	"             0.96535"	"             0.58183"	"            0.031489"	"            0.017656"	"           0.0027452"	"           0.0069145"	"           0.0069145"	"            0.037715"
"                   7"	"            0.035665"	"             0.02467"	"           0.0024818"	"             0.95786"	"             0.90845"	"             0.96206"	"             0.60516"	"            0.029951"	"            0.017607"	"           0.0026245"	"           0.0079015"	"           0.0079015"	"            0.028802"
"                   8"	"            0.033662"	"            0.024289"	"           0.0023161"	"             0.95146"	"             0.91452"	"             0.96651"	"             0.60821"	"            0.028981"	"            0.018062"	"           0.0022821"	"           0.0088875"	"           0.0088875"	"            0.019888"
"                   9"	"            0.032907"	"            0.024267"	"            0.002272"	"             0.93109"	"             0.89966"	"             0.95455"	"             0.61398"	"             0.02904"	"             0.01818"	"           0.0031432"	"           0.0098724"	"           0.0098724"	"            0.010972"
"                  10"	"            0.032328"	"             0.02469"	"           0.0022365"	"             0.94266"	"             0.91813"	"             0.96593"	"             0.61647"	"            0.029219"	"            0.018027"	"           0.0024328"	"           0.0099781"	"           0.0099781"	"           0.0099781"
"                  11"	"            0.030603"	"            0.023737"	"           0.0019264"	"             0.94138"	"             0.91815"	"             0.96632"	"             0.64392"	"            0.027136"	"            0.017537"	"           0.0025972"	"           0.0099781"	"           0.0099781"	"           0.0099781"
"                  12"	"            0.030309"	"            0.023594"	"           0.0019106"	"              0.9435"	"             0.91157"	"             0.96226"	"             0.64021"	"            0.027201"	"            0.017367"	"           0.0032463"	"           0.0099735"	"           0.0099735"	"           0.0099735"
"                  13"	"            0.030028"	"            0.023888"	"            0.001682"	"             0.95976"	"              0.9107"	"             0.96381"	"             0.63681"	"            0.027457"	"            0.017575"	"           0.0023459"	"           0.0099685"	"           0.0099685"	"           0.0099685"
"                  14"	"            0.029193"	"            0.023409"	"            0.001709"	"             0.95153"	"             0.92335"	"             0.96986"	"             0.64998"	"            0.026933"	"            0.017224"	"           0.0018116"	"            0.009963"	"            0.009963"	"            0.009963"
"                  15"	"            0.028918"	"            0.022819"	"           0.0016219"	"             0.96549"	"              0.9233"	"             0.97286"	"             0.65464"	"            0.026655"	"            0.016943"	"           0.0021693"	"           0.0099571"	"           0.0099571"	"           0.0099571"
"                  16"	"             0.02861"	"            0.022788"	"           0.0015128"	"             0.96105"	"             0.90963"	"             0.96758"	"             0.65487"	"            0.026704"	"            0.017274"	"           0.0022938"	"           0.0099508"	"           0.0099508"	"           0.0099508"
"                  17"	"            0.028191"	"            0.022416"	"           0.0014939"	"             0.96061"	"              0.9216"	"             0.97011"	"              0.6602"	"            0.026128"	"            0.017076"	"           0.0021185"	"            0.009944"	"            0.009944"	"            0.009944"
"                  18"	"            0.028311"	"             0.02292"	"           0.0013815"	"             0.96466"	"             0.91416"	"             0.96976"	"             0.66403"	"            0.026033"	"            0.016886"	"           0.0020871"	"           0.0099368"	"           0.0099368"	"           0.0099368"
